age,gender,income,race,education,label
56,Male,10235,Hispanic,High School,True
46,Male,66372,Hispanic,High School,False
32,Female,68691,Other,Masters,True
60,Male,18899,White,High School,False
25,Female,44859,White,Bachelors,False
38,Female,44428,White,Bachelors,False
56,Male,28887,Black,High School,True
36,Male,38332,Asian,Masters,True
40,Male,33341,White,High School,False
28,Male,76284,Asian,Bachelors,False
28,Male,64035,White,PhD,True
41,Female,69073,Asian,Bachelors,True
53,Male,60825,White,Masters,True
57,Male,33064,White,High School,True
41,Female,42132,White,Bachelors,False
20,Male,57340,White,High School,True
39,Female,31668,White,Bachelors,True
19,Male,60694,White,PhD,False
41,Male,46395,Hispanic,High School,True
61,Female,44377,Black,Bachelors,False
47,Female,60664,White,High School,False
55,Female,56663,Black,Bachelors,False
19,Female,44585,Hispanic,Bachelors,True
38,Female,67389,White,PhD,True
50,Male,33784,White,Bachelors,False
29,Male,59239,White,High School,False
39,Female,58896,White,High School,False
61,Female,45356,Black,High School,True
42,Female,54891,White,High School,False
44,Male,31233,Black,High School,False
59,Male,63860,Hispanic,Masters,True
45,Female,47226,White,Bachelors,False
33,Male,42159,Black,Bachelors,False
32,Female,65735,White,High School,False
64,Female,39434,Other,Masters,True
61,Male,28873,White,Bachelors,True
20,Female,26650,Hispanic,High School,True
54,Female,59090,Black,Bachelors,False
24,Male,30793,White,Bachelors,True
38,Female,76321,Black,High School,True
26,Male,18771,Other,Bachelors,True
56,Female,75446,Black,Bachelors,True
35,Male,53165,Hispanic,High School,False
21,Female,48549,Asian,Masters,False
42,Male,41826,White,Masters,True
31,Male,55987,White,Bachelors,False
26,Female,49435,Black,Bachelors,False
43,Male,66549,White,Bachelors,True
19,Male,51713,Hispanic,Bachelors,True
37,Female,52254,Asian,Bachelors,False
45,Female,44545,White,High School,False
64,Male,49145,White,Bachelors,False
24,Female,54617,Hispanic,Masters,True
61,Male,24347,White,Bachelors,True
25,Male,29777,Hispanic,High School,False
64,Male,61148,White,Masters,True
52,Female,52562,Black,High School,True
31,Female,47240,White,High School,True
34,Female,50276,Black,High School,False
53,Female,55213,White,High School,False
57,Male,41903,Black,Masters,True
21,Male,38325,White,Bachelors,False
19,Male,52937,Hispanic,High School,True
23,Male,35324,Asian,Masters,True
59,Male,56123,White,Masters,True
21,Female,24461,White,Masters,False
46,Male,65437,White,High School,False
35,Male,57088,Black,Bachelors,False
43,Male,53840,Black,PhD,True
61,Female,64740,Black,Masters,True
51,Female,74982,White,High School,True
27,Male,65215,White,High School,False
53,Male,22386,Black,Bachelors,False
31,Female,30806,White,Masters,True
48,Male,40627,Other,Bachelors,False
32,Female,50391,White,Bachelors,False
25,Female,57764,Black,High School,True
31,Male,39113,White,Bachelors,False
40,Male,52801,White,Masters,True
57,Female,38669,Hispanic,High School,False
38,Male,40827,Black,Masters,False
33,Male,28900,Other,PhD,False
62,Female,36151,White,High School,False
